Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,Expected Loss (in Rs.)
1,11.5,20.0,0.007,6440.0
2,0.24,5.1,0.0033,75.1608
3,0.04,24.86,0.0022,6.612320000000002
4,13.81,2.29,0.0066,8905.87566
5,19.84,3.47,0.002,3830.3104000000003
6,20.61,20.84,0.0002,326.29751999999996
7,24.9,34.91,0.0089,14424.594899999998
8,18.76,36.44,0.0059,7035.07504
9,10.23,39.59,0.0026,1606.7851799999999
10,19.55,25.11,0.0008,1171.2796
11,1.14,33.29,0.0,0.0
12,6.4,37.34,0.0034,1363.4816000000003
13,21.45,37.22,0.0072,9695.743199999999
14,8.17,12.91,0.005,3557.6264999999994
15,15.73,14.68,0.0056,7515.668159999999
16,8.73,37.14,0.0059,3237.730020000001
17,24.02,39.85,0.0029,4189.9286999999995
18,11.92,26.54,0.0064,5604.116480000001
19,15.78,16.66,0.0041,5391.931320000001
20,0.04,10.34,0.0043,15.421520000000001
21,24.73,15.51,0.0046,9611.413419999999
22,7.49,16.67,0.0004,249.65668000000002
23,20.15,9.45,0.0041,7480.7882500000005
24,2.92,26.4,0.0041,881.1392
25,0.3,32.34,0.0039,79.16219999999998
26,1.95,12.78,0.0016,272.1264
27,10.57,28.81,0.0063,4740.613289999999
28,19.41,30.77,0.0099,13303.167570000001
29,16.09,22.67,0.0022,2737.32734
30,5.65,32.08,0.0067,2571.1116000000006
31,1.13,8.87,0.0068,700.2429199999999
32,17.07,27.81,0.0089,10967.32137
33,2.93,3.48,0.0041,1159.4947600000003
34,21.87,30.66,0.0045,6824.096100000001
35,18.92,31.15,0.0007,911.8494
36,22.8,23.28,0.0048,8396.236799999999
37,10.8,19.95,0.0042,3631.0679999999998
38,24.74,13.13,0.0037,7951.906059999999
39,6.76,15.65,0.0074,4219.5244
40,6.51,16.35,0.0004,217.8246
41,24.33,33.94,0.0036,5786.06328
42,21.01,19.86,0.0078,13133.18292
43,13.57,17.0,0.0079,8897.849
44,8.97,37.63,0.0023,1286.7554699999998
45,3.15,16.53,0.003,788.7915
46,13.56,22.41,0.0053,5576.23812
47,10.71,22.36,0.0094,7816.329360000001
48,22.29,35.08,0.0053,7669.45404
49,4.64,32.95,0.0034,1057.7808
50,17.47,4.95,0.0011,1826.5758500000004
51,2.72,33.41,0.0049,887.5115200000002
52,16.88,25.82,0.0068,8514.677119999998
53,14.49,15.06,0.0026,3200.02956
54,24.87,24.81,0.0092,17203.77276
55,0.07,38.55,0.0053,22.797950000000004
56,10.16,0.63,0.0096,9692.15232
57,21.21,16.14,0.0082,14585.098920000002
58,18.04,31.02,0.0095,11821.792399999997
59,2.16,26.35,0.0046,731.7864
60,2.16,13.67,0.0065,1212.0732
61,8.76,30.03,0.0093,5700.315959999999
62,14.57,28.67,0.005,5196.3905
63,14.9,10.44,0.0076,10141.7744
64,4.56,37.78,0.0075,2127.9239999999995
65,2.28,21.66,0.0004,71.44608
66,13.69,26.56,0.0061,6132.90096
67,20.74,5.91,0.0061,11903.702259999998
68,7.14,15.4,0.0032,1932.9407999999999
69,22.9,26.81,0.0071,11899.9621
70,20.82,1.78,0.005,10224.702
71,14.48,14.52,0.0015,1856.6256
72,6.49,38.49,0.0082,3273.4391800000003
73,9.03,36.63,0.0088,5035.633679999999
74,4.75,0.27,0.01,4737.174999999999
75,4.02,33.34,0.008,2143.7855999999992
76,23.17,35.19,0.0048,7207.90896
77,17.36,20.99,0.0021,2880.38856
78,6.49,12.11,0.0075,4278.04575
79,12.87,2.07,0.0047,5923.68777
80,1.79,22.74,0.0091,1258.4881400000002
81,16.23,17.0,0.0074,9968.466
82,15.42,22.36,0.0097,11612.925360000001
83,22.33,30.8,0.0079,12207.3644
84,16.54,34.78,0.0007,755.11716
85,1.32,0.6,0.0033,432.9864
86,1.45,37.05,0.0066,602.4314999999999
87,4.14,2.31,0.0019,768.42954
88,13.79,27.93,0.0017,1689.5370099999998
89,19.6,16.33,0.0036,5903.7552
90,3.09,7.97,0.0076,2161.2325199999996
91,24.3,20.84,0.0077,14811.6276
92,6.11,33.57,0.0043,1745.31539
93,3.7,33.84,0.0072,1762.5023999999999
94,6.22,34.44,0.0095,3873.9404
95,13.63,7.72,0.0074,9307.545360000002
96,12.63,30.63,0.0051,4468.32981
97,3.25,16.2,0.0029,789.8149999999999
98,21.77,22.74,0.0021,3532.095419999999
99,20.72,19.54,0.0091,15170.89392
100,15.85,35.67,0.0025,2549.07625
101,10.62,28.65,0.0006,454.64219999999995
102,23.62,13.88,0.0035,7119.540400000001
103,15.18,9.39,0.0025,3438.6494999999995
104,3.17,22.62,0.0097,2379.3576199999998
105,18.99,28.53,0.0067,9093.342509999999
106,3.72,16.81,0.0087,2692.36116
107,23.07,11.95,0.0059,11984.749650000003
108,19.76,39.22,0.005,6005.064000000001
109,22.17,38.07,0.0034,4668.15954
110,22.09,2.08,0.0065,14059.8432
111,2.04,36.63,0.0027,349.04196
112,9.04,0.29,0.0005,450.6891999999999
113,18.03,17.65,0.0074,10987.301700000002
114,19.89,38.91,0.0025,3037.7002500000003
115,14.7,7.55,0.003,4077.045
116,21.6,30.81,0.0085,12703.284000000001
117,8.79,24.57,0.003,1989.0890999999997
118,17.12,3.87,0.0085,13988.8376
119,11.24,20.44,0.01,8942.544
120,24.29,19.87,0.0053,10315.69581
121,2.53,2.64,0.0067,1650.3493600000002
122,9.78,10.83,0.0069,6017.36994
123,9.03,25.08,0.0014,947.13864
124,21.77,0.95,0.0067,14447.333949999998
125,17.23,9.27,0.0021,3282.88359
126,21.67,5.05,0.0083,17077.80195
127,23.71,14.67,0.0002,404.63486
128,9.94,32.46,0.0095,6377.802199999999
129,23.44,10.84,0.0079,16510.292160000005
130,4.53,27.94,0.0039,1273.0840199999998
131,7.7,36.74,0.0014,681.9428
132,18.7,2.69,0.005,9098.484999999999
